#{"t_start": 1594001629.9526608, "env_id": null}
r,l,t
-9.761905,11,19.811772
-9.809524,9,19.832127
1.190476,9,19.852272
1.166667,8,19.873786
1.119048,6,19.88699
-0.666667,15,19.920292
1.095238,5,19.931869
1.095238,5,19.943579
1.095238,5,19.955267
1.071429,4,19.965358
-0.904762,5,19.977737
1.166667,8,19.996027
1.166667,8,20.014579
-0.904762,5,20.027214
1.142857,7,20.041813
1.095238,5,20.053489
1.119048,6,20.066523
-0.928571,4,20.077351
1.166667,8,20.09621
-0.714286,13,20.124852
1.119048,6,20.145836
1.071429,4,20.153457
1.119048,6,20.173836
1.095238,5,20.188201
1.238095,11,20.213614
1.190476,9,20.234137
-0.880952,6,20.24838
1.095238,5,20.260168
-0.904762,5,20.272551
-9.714286,13,20.298253
1.095238,5,20.310019
1.238095,11,20.336787
-9.785714,10,20.359386
1.095238,5,20.371422
-0.857143,7,20.391845
1.142857,7,20.407799
1.095238,5,20.419665
1.095238,5,20.431712
1.214286,10,20.453697
-0.904762,5,20.466202
1.119048,6,20.482322
1.142857,7,20.497925
-0.785714,10,20.522843
1.142857,7,20.538387
1.095238,5,20.550397
-0.833333,8,20.570253
1.142857,7,20.585538
-0.904762,5,20.6001
-9.785714,10,20.622265
1.095238,5,20.636486
1.095238,5,20.648247
1.119048,6,20.666492
-0.809524,9,20.684797
1.166667,8,20.704889
1.095238,5,20.716657
-9.714286,13,20.747969
1.119048,6,20.763175
1.095238,5,20.774866
-9.833333,8,20.795373
1.095238,5,20.80805
1.095238,5,20.819637
-9.833333,8,20.839553
-0.642857,16,20.873416
1.119048,6,20.890507
1.166667,8,20.909439
1.119048,6,20.925177
-9.833333,8,20.943236
1.119048,6,20.956798
-0.785714,10,20.979803
-0.857143,7,20.994959
1.190476,9,21.01552
1.166667,8,21.036644
-0.833333,8,21.053849
1.095238,5,21.065672
1.166667,8,21.09268
1.095238,5,21.104582
-0.928571,4,21.115503
-0.833333,8,21.132144
-0.833333,8,21.151682
-0.714286,13,21.182686
1.095238,5,21.194618
1.095238,5,21.206587
-0.880952,6,21.220759
-0.714286,13,21.247729
1.095238,5,21.261497
1.119048,6,21.283394
-0.880952,6,21.299479
-0.880952,6,21.315483
1.142857,7,21.332163
-0.904762,5,21.345269
1.071429,4,21.358534
1.095238,5,21.381968
1.119048,6,21.405867
-0.928571,4,21.419677
1.119048,6,21.433394
1.095238,5,21.448385
-9.809524,9,21.476632
1.166667,8,21.501357
1.095238,5,21.514942
1.166667,8,21.531608
-9.785714,10,21.554466
1.119048,6,21.576961
1.071429,4,21.584448
1.142857,7,21.62263
1.142857,7,21.638265
1.071429,4,21.650914
-9.738095,12,21.678155
1.119048,6,21.696721
1.095238,5,21.708511
1.071429,4,21.716293
1.166667,8,21.738786
-9.880952,6,21.751937
1.071429,4,21.763861
-9.880952,6,21.784577
1.071429,4,21.795136
1.071429,4,21.805895
1.095238,5,21.819348
1.095238,5,21.837024
1.190476,9,21.868111
1.095238,5,21.881726
1.142857,7,21.897384
-9.785714,10,21.933088
-0.857143,7,21.95076
-9.714286,13,21.990658
1.309524,14,22.021694
1.071429,4,22.032072
1.119048,6,22.045576
-0.880952,6,22.059545
-9.595238,18,22.102974
-0.738095,12,22.135487
1.071429,4,22.145954
1.095238,5,22.158442
1.071429,4,22.169159
-9.880952,6,22.186754
1.190476,9,22.207524
-9.690476,14,22.236909
1.071429,4,22.253608
1.166667,8,22.278091
1.071429,4,22.29066
1.142857,7,22.306176
1.238095,11,22.330097
1.095238,5,22.342208
1.071429,4,22.352896
1.119048,6,22.366531
-9.857143,7,22.383731
1.142857,7,22.399415
1.071429,4,22.410189
1.071429,4,22.425271
1.071429,4,22.433191
1.119048,6,22.449579
1.095238,5,22.466314
-9.880952,6,22.478959
-9.809524,9,22.498564
1.071429,4,22.506423
1.095238,5,22.517963
1.142857,7,22.535242
1.071429,4,22.545371
1.071429,4,22.553133
1.095238,5,22.564961
1.142857,7,22.582451
1.071429,4,22.592565
1.071429,4,22.600129
1.071429,4,22.610461
-9.809524,9,22.630678
1.095238,5,22.642489
-9.761905,11,22.665215
1.142857,7,22.682514
1.190476,9,22.700041
1.095238,5,22.7117
1.166667,8,22.730755
1.071429,4,22.741016
1.071429,4,22.750996
1.071429,4,22.758726
1.142857,7,22.783805
1.166667,8,22.80158
1.071429,4,22.812485
1.071429,4,22.822698
1.071429,4,22.832791
-0.857143,7,22.848151
1.071429,4,22.858496
1.238095,11,22.881716
1.071429,4,22.892398
1.071429,4,22.902566
-9.833333,8,22.917981
1.071429,4,22.928403
1.071429,4,22.938653
1.071429,4,22.948776
1.095238,5,22.960316
1.071429,4,22.971642
1.095238,5,22.983186
1.071429,4,22.99092
1.071429,4,23.001185
-0.785714,10,23.023447
1.071429,4,23.03378
1.071429,4,23.043878
1.071429,4,23.054076
1.071429,4,23.061744
1.071429,4,23.072329
1.071429,4,23.082694
1.071429,4,23.092779
1.071429,4,23.103019
1.071429,4,23.110759
1.071429,4,23.121012
1.071429,4,23.131493
1.071429,4,23.142832
1.071429,4,23.153254
1.071429,4,23.160976
1.071429,4,23.171513
-9.857143,7,23.19701
-9.761905,11,23.223302
1.142857,7,23.24132
1.071429,4,23.252878
1.071429,4,23.266386
1.071429,4,23.276604
1.071429,4,23.284225
1.142857,7,23.301628
1.119048,6,23.314973
-0.857143,7,23.330171
1.071429,4,23.340453
1.071429,4,23.350841
1.190476,9,23.371078
1.071429,4,23.385849
1.166667,8,23.406315
